Summary,Issue Type,Description,Original Estimate,Labels
[T3.02] Middleware: API-key auth + rate limit + tenant resolve,Task,"*Dependencies:* T3.01
*Acceptance Criteria:* Bad key rejected; rate limit returns 429.
*Verification:* integration",1.0d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.03] `GET /api/agent/business-profile`,Task,"*Dependencies:* T3.02
*Acceptance Criteria:* Returns name, hours, timezone, languages, deposit policy.
*Verification:* contract test",0.5d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.04] `GET /api/agent/catalog` (active items only),Task,"*Dependencies:* T3.02
*Acceptance Criteria:* Filterable by kind.
*Verification:* contract test",0.75d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.05] `GET /api/agent/availability` (services + tables),Task,"*Dependencies:* T1.05
*Acceptance Criteria:* Honors `availability_rules`, existing reservations, capacity.
*Verification:* integration",2.0d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.06] `GET /api/agent/customer?phone=`,Task,"*Dependencies:* T3.02
*Acceptance Criteria:* Returns null or customer summary.
*Verification:* contract test",0.4d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.07] `POST /api/agent/bookings/draft` (idempotent),Task,"*Dependencies:* T3.02, T1.13
*Acceptance Criteria:* Creates reservation in `draft_ai`, ai_actions row.
*Verification:* integration",1.25d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.08] `POST /api/agent/bookings/confirm`,Task,"*Dependencies:* T3.07
*Acceptance Criteria:* Honors `auto_confirm_voice_bookings` setting; SMS via existing flow.
*Verification:* integration",1.0d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.09] `POST /api/agent/orders/draft` (takeaway),Task,"*Dependencies:* T3.02
*Acceptance Criteria:* Creates order in `draft`, ai_actions row.
*Verification:* integration",1.25d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.10] `POST /api/agent/handoffs`,Task,"*Dependencies:* T3.02
*Acceptance Criteria:* Creates handoff row, broadcasts to AI inbox.
*Verification:* integration",0.5d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.11] `POST /api/agent/call-events` (lifecycle),Task,"*Dependencies:* T3.02
*Acceptance Criteria:* Updates `call_logs` with outcome flags.
*Verification:* integration",0.5d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.12] AI Inbox page: handoffs list + detail with transcript + accept/edit/reject,Task,"*Dependencies:* T3.10
*Acceptance Criteria:* Reject moves status to `rejected_by_staff`.
*Verification:* manual",1.5d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
"[T3.13] AI Inbox: ""AI bookings awaiting review"" stream",Task,"*Dependencies:* T3.07
*Acceptance Criteria:* Staff can confirm or reject draft_ai reservations.
*Verification:* manual",1.0d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
"[T3.14] Realtime channels: `ai_actions`, `handoffs`, `reservations` for AI Inbox",Task,"*Dependencies:* T3.12
*Acceptance Criteria:* New row appears within 1s.
*Verification:* manual",0.5d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.15] Adapt LiveKit agent: replace `finalize_reservation` direct DB call with API client,Task,"*Dependencies:* T3.07, T3.08
*Acceptance Criteria:* Smoke test call books via API.
*Verification:* end-to-end",1.5d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
"[T3.16] Adapt LiveKit agent: add `lookup_customer`, `get_business_rules`, `check_availability` tools",Task,"*Dependencies:* T3.03-T3.06
*Acceptance Criteria:* Integration test in agent repo passes.
*Verification:* end-to-end",1.5d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T3.17] Update `AGENT_DASHBOARD_POS_INTEGRATION.md` to reflect actual endpoint URLs,Task,"*Dependencies:* T3.07-T3.11
*Acceptance Criteria:* Doc and code agree.
*Verification:* review",0.25d,"POS-MVP, Phase-3-Booking-AI-inbox-Agent-API"
[T4.01] Reports page shell with date range picker,Task,"*Dependencies:* T0.04
*Acceptance Criteria:* Range applied to all widgets.
*Verification:* manual",0.5d,"POS-MVP, Phase-4-Reporting"
[T4.02] Daily / weekly / monthly sales chart (recharts),Task,"*Dependencies:* T1.18
*Acceptance Criteria:* Matches raw SQL totals.
*Verification:* unit test",0.75d,"POS-MVP, Phase-4-Reporting"
"[T4.03] ""AI revenue"" widget",Task,"*Dependencies:* T1.18
*Acceptance Criteria:* `where source='voice'`.
*Verification:* manual",0.4d,"POS-MVP, Phase-4-Reporting"
[T4.04] Best-selling items + low-stock list,Task,"*Dependencies:* T1.18
*Acceptance Criteria:* Top 10 sortable.
*Verification:* manual",0.5d,"POS-MVP, Phase-4-Reporting"
[T4.05] Cashier sales / payment-method split,Task,"*Dependencies:* T1.16
*Acceptance Criteria:* Matches Z-report.
*Verification:* unit test",0.75d,"POS-MVP, Phase-4-Reporting"
[T4.06] Missed-call recovery estimate (AI bookings created from missed calls),Task,"*Dependencies:* T3.07
*Acceptance Criteria:* Counts unique caller numbers with `draft_ai -> confirmed`.
*Verification:* unit test",1.0d,"POS-MVP, Phase-4-Reporting"
[T4.07] CSV export per widget,Task,"*Dependencies:* T4.02-T4.06
*Acceptance Criteria:* Downloads tally with on-screen numbers.
*Verification:* manual",0.5d,"POS-MVP, Phase-4-Reporting"
[T4.08] Daily digest email (optional),Task,"*Dependencies:* T4.02
*Acceptance Criteria:* Owner receives 8am summary.
*Verification:* manual",1.0d,"POS-MVP, Phase-4-Reporting"
[T5.01] Roles + invitations UI,Task,"*Dependencies:* T0.04
*Acceptance Criteria:* Owner invites manager, cashier, accountant.
*Verification:* manual",1.0d,"POS-MVP, Phase-5-Polish-onboarding"
[T5.02] DE/EN copy for all new POS pages,Task,"*Dependencies:* all UI
*Acceptance Criteria:* i18n keys all translated.
*Verification:* manual",1.0d,"POS-MVP, Phase-5-Polish-onboarding"
"[T5.03] Onboarding wizard: business profile, hours, services, deposit policy, voice tone",Task,"*Dependencies:* T1.05
*Acceptance Criteria:* New tenant ready in under 30 min.
*Verification:* manual",1.5d,"POS-MVP, Phase-5-Polish-onboarding"
[T5.04] Test-call panel (LiveKit) wired to setup,Task,"*Dependencies:* T3.15
*Acceptance Criteria:* Owner triggers a test call from the dashboard.
*Verification:* manual",0.75d,"POS-MVP, Phase-5-Polish-onboarding"
[T5.05] Backups documented + tested restore,Task,"*Dependencies:* T0.04
*Acceptance Criteria:* Restore from yesterday on staging.
*Verification:* manual",0.5d,"POS-MVP, Phase-5-Polish-onboarding"
[T5.06] Sentry + structured logs in route handlers,Task,"*Dependencies:* T0.04
*Acceptance Criteria:* Forced 500 produces alert.
*Verification:* manual",0.5d,"POS-MVP, Phase-5-Polish-onboarding"
[T5.07] Production deploy checklist + DNS + Twilio numbers,Task,"*Dependencies:* all
*Acceptance Criteria:* First customer goes live.
*Verification:* go-live",1.0d,"POS-MVP, Phase-5-Polish-onboarding"
